id,title,slug,posts,replies,highest_post_number,created_at,last_posted_at,bumped,bumped_at,unseen,pinned,visible,closed,archived,views,like_count,has_summary,category_id,pinned_globally,featured_link,has_accepted_answer
29282,YouMoney accounts - change the suffix?,youmoney-accounts-change-the-suffix,5,3,5,2018-02-27T10:06:01.649Z,2018-03-01T05:43:40.916Z,True,2018-03-01T05:43:40.916Z,False,False,True,False,False,1207,1,False,13,False,,False
29256,Information required by Studylink,information-required-by-studylink,3,1,3,2018-02-23T05:18:22.894Z,2018-02-23T18:03:32.000Z,True,2018-02-23T18:03:32.000Z,False,False,True,False,False,1169,4,False,12,False,,False
311,Bank to bank transfer times,bank-to-bank-transfer-times,9,4,9,2015-11-03T10:26:31.000Z,2018-02-22T08:39:18.722Z,True,2018-02-22T08:39:18.722Z,False,False,True,False,False,7921,1,False,13,False,,False
29121,Google Pay,google-pay,2,0,2,2018-01-14T21:24:47.881Z,2018-02-21T03:46:46.834Z,True,2018-02-21T03:46:46.834Z,False,False,True,False,False,4044,3,False,10,False,,False
29215,Longer passwords are here!,longer-passwords-are-here,4,0,4,2018-02-14T21:17:36.383Z,2018-02-20T20:47:08.265Z,True,2018-02-20T20:47:08.265Z,False,False,True,False,False,1822,13,False,13,False,,False
325,Password strength,password-strength,13,6,13,2016-03-13T06:19:03.000Z,2018-02-19T07:07:46.587Z,True,2018-02-19T07:07:46.587Z,False,False,True,False,False,4530,10,False,13,False,,False
29208,Internet Banking hangs in Chrome,internet-banking-hangs-in-chrome,4,1,4,2018-02-13T01:10:55.528Z,2018-02-18T08:36:29.811Z,True,2018-02-18T08:36:29.811Z,False,False,True,False,False,1342,0,False,13,False,,False
29222,Cheque book with Everyday account,cheque-book-with-everyday-account,2,0,2,2018-02-15T19:57:34.982Z,2018-02-16T03:01:28.700Z,True,2018-02-16T03:01:28.700Z,False,False,True,False,False,1171,0,False,12,False,,False
29217,Integration with Salt Edge,integration-with-salt-edge,1,0,1,2018-02-14T22:29:55.528Z,2018-02-14T22:29:55.643Z,True,2018-02-14T22:29:55.643Z,False,False,True,False,False,1900,0,False,3,False,,False
29176,Scammers - crime,scammers-crime,3,0,3,2018-02-01T10:44:25.748Z,2018-02-14T21:31:00.655Z,True,2018-02-14T21:42:57.249Z,False,False,True,False,False,1031,2,False,12,False,,False
28451,Want to swap the accounts that you can access via EFTPOS or ATM machine on your card?,want-to-swap-the-accounts-that-you-can-access-via-eftpos-or-atm-machine-on-your-card,3,1,3,2017-08-01T01:38:08.353Z,2018-02-14T21:25:20.626Z,True,2018-02-14T21:25:20.626Z,False,False,True,False,False,2655,1,False,13,False,,False
29188,Documentation of Exported Transactions,documentation-of-exported-transactions,2,0,2,2018-02-07T23:06:40.338Z,2018-02-14T02:57:40.998Z,True,2018-02-14T02:57:40.998Z,False,False,True,False,False,1659,1,False,13,False,,False
29212,An important message from Spark,an-important-message-from-spark,1,0,1,2018-02-13T02:03:30.743Z,2018-02-13T02:03:30.832Z,True,2018-02-13T02:21:54.218Z,False,False,True,False,False,1657,0,False,12,False,,False
29192,[Feature Request] Next card statement date in app,feature-request-next-card-statement-date-in-app,3,0,3,2018-02-08T18:13:14.071Z,2018-02-12T21:20:08.929Z,True,2018-02-12T21:20:08.929Z,False,False,True,False,False,918,2,False,12,False,,False
29200,Suspending Credit Card,suspending-credit-card,2,0,2,2018-02-11T07:07:41.172Z,2018-02-11T20:34:39.008Z,True,2018-02-11T20:34:39.008Z,False,False,True,False,False,886,1,False,12,False,,False
29179,Retail online transactions overseas,retail-online-transactions-overseas,2,1,2,2018-02-02T06:31:45.134Z,2018-02-07T00:11:38.456Z,True,2018-02-07T04:02:22.000Z,False,False,True,False,False,1926,0,False,11,False,,False
29183,Website scam,website-scam,2,0,2,2018-02-05T07:00:24.457Z,2018-02-07T00:10:05.262Z,True,2018-02-07T00:10:05.262Z,False,False,True,False,False,881,0,False,12,False,,False
29185,An Investment Opportunity Sounds Too Good?,an-investment-opportunity-sounds-too-good,1,0,1,2018-02-06T21:47:54.159Z,2018-02-06T21:47:54.306Z,True,2018-02-06T21:47:54.306Z,False,False,True,False,False,1395,2,False,12,False,,False
29164,Passwords,passwords,3,1,3,2018-01-28T22:55:31.837Z,2018-02-06T20:19:06.385Z,True,2018-02-06T20:19:06.385Z,False,False,True,False,False,1089,5,False,13,False,,False
29182,Feedback and improvements,feedback-and-improvements,3,0,3,2018-02-05T04:22:25.125Z,2018-02-06T10:53:23.537Z,True,2018-02-06T10:53:23.537Z,False,False,True,False,False,1061,1,False,12,False,,False
28676,Remittance email,remittance-email,5,2,5,2017-10-15T22:21:25.057Z,2018-02-05T04:24:15.988Z,True,2018-02-05T04:24:15.988Z,False,False,True,False,False,1817,3,False,13,False,,False
29162,Firefox and BNZ Log in,firefox-and-bnz-log-in,5,3,5,2018-01-28T22:26:29.581Z,2018-01-31T23:41:09.000Z,True,2018-01-31T23:41:09.000Z,False,False,True,False,False,1242,2,False,12,False,,False
28738,iPhone X,iphone-x,6,3,6,2017-11-02T21:25:25.077Z,2018-01-31T00:11:01.275Z,True,2018-01-31T00:11:01.275Z,False,False,True,False,False,2266,7,False,13,False,,False
29156,Western Union scam victims may qualify for reimbursement,western-union-scam-victims-may-qualify-for-reimbursement,1,0,1,2018-01-25T19:44:53.592Z,2018-01-25T19:44:53.717Z,True,2018-01-25T19:44:53.717Z,False,False,True,False,False,1502,1,False,12,False,,False
29124,Extended transaction history for online banking,extended-transaction-history-for-online-banking,6,4,6,2018-01-15T03:28:51.695Z,2018-01-23T22:16:45.000Z,True,2018-01-24T03:30:33.891Z,False,False,True,False,False,1537,5,False,13,False,,False
29135,Android Pay Virtual Card Number,android-pay-virtual-card-number,3,0,3,2018-01-17T09:07:03.239Z,2018-01-23T21:36:46.288Z,True,2018-01-23T21:36:46.288Z,False,False,True,False,False,1243,0,False,12,False,,False
29142,Lost netguard,lost-netguard,2,0,2,2018-01-19T05:19:19.951Z,2018-01-22T04:12:58.920Z,True,2018-01-22T04:12:58.920Z,False,False,True,False,False,1293,0,False,12,False,,False
29138,Telephone banking/debit card problem,telephone-banking-debit-card-problem,5,3,5,2018-01-18T00:43:53.361Z,2018-01-18T02:51:51.532Z,True,2018-01-18T02:51:51.532Z,False,False,True,False,False,1160,1,False,12,False,,False
29053,Apple Pay Double Rewards,apple-pay-double-rewards,5,2,6,2017-12-22T19:55:00.041Z,2018-01-17T04:14:25.914Z,True,2018-01-17T04:14:25.914Z,False,False,True,False,False,1430,4,False,13,False,,False
29122,New Wellington Partners centre now open for business!,new-wellington-partners-centre-now-open-for-business,1,0,1,2018-01-14T22:52:57.577Z,2018-01-14T22:52:57.689Z,True,2018-01-14T22:52:57.689Z,False,False,True,False,False,2844,1,False,11,False,,False
28485,Disputed Transaction Resolution delays,disputed-transaction-resolution-delays,15,11,15,2017-08-17T21:49:56.075Z,2018-01-13T20:33:14.752Z,True,2018-01-13T20:33:14.752Z,False,False,True,False,False,3203,7,False,12,False,,False
28659,Apple Pay at BNZ,apple-pay-at-bnz,15,6,15,2017-10-08T21:44:25.882Z,2017-10-15T01:38:14.300Z,True,2018-01-13T15:45:11.516Z,False,False,True,False,False,2871,25,False,12,False,,False
22406,Record number of BNZ Start-Up Alley entries,record-number-of-bnz-start-up-alley-entries,2,0,2,2017-02-02T04:36:49.227Z,2017-02-08T20:22:40.046Z,True,2018-01-13T15:42:49.964Z,False,False,True,False,False,3303,3,False,22,False,,False
29076,Reconciling Credit Cards (matching transactions with payments),reconciling-credit-cards-matching-transactions-with-payments,5,1,5,2018-01-04T01:20:50.268Z,2018-01-10T21:51:27.367Z,True,2018-01-10T21:51:27.367Z,False,False,True,False,False,1373,1,False,13,False,,False
29068,Export to a CSV File Update Time Lag,export-to-a-csv-file-update-time-lag,3,0,3,2018-01-01T01:36:13.348Z,2018-01-03T20:03:36.671Z,True,2018-01-03T20:03:36.671Z,False,False,True,False,False,986,0,False,12,False,,False
29051,Christmas and New Year's Hours,christmas-and-new-years-hours,1,0,1,2017-12-21T22:46:16.054Z,2017-12-21T22:46:16.181Z,True,2017-12-26T20:08:28.551Z,False,False,True,False,False,3257,0,False,10,False,,False
453,"Small loans, big differences: Community Finance loans go interest free",small-loans-big-differences-community-finance-loans-go-interest-free,2,0,3,2016-04-04T12:00:00.000Z,2017-12-18T14:25:32.899Z,True,2017-12-25T23:51:24.292Z,False,False,True,False,False,5146,0,False,22,False,,False
28816,iPhone App - New Features,iphone-app-new-features,3,2,3,2017-11-29T06:49:10.349Z,2017-12-22T02:34:41.140Z,True,2017-12-22T02:34:41.140Z,False,False,True,False,False,1473,2,False,13,False,,False
28759,Visa Platinum FlyBuys Incentive,visa-platinum-flybuys-incentive,5,2,5,2017-11-08T02:18:04.904Z,2017-12-21T07:31:32.676Z,True,2017-12-21T07:31:32.676Z,False,False,True,False,False,1806,0,False,12,False,,False
28923,Everyday account with no monthly fee,everyday-account-with-no-monthly-fee,3,0,3,2017-12-16T00:44:22.596Z,2017-12-19T22:13:50.638Z,True,2017-12-19T22:13:50.638Z,False,False,True,False,False,1899,0,False,12,False,,False
299,Ridiculous: business credit card statements can't be viewed in internet banking?,ridiculous-business-credit-card-statements-cant-be-viewed-in-internet-banking,20,4,20,2015-11-04T22:21:08.000Z,2017-12-15T03:59:52.362Z,True,2017-12-18T04:04:45.905Z,False,False,True,False,False,5262,4,False,13,False,,False
28879,Security History Query,security-history-query,3,1,3,2017-12-14T22:18:28.018Z,2017-12-16T21:51:31.000Z,True,2017-12-16T21:51:31.000Z,False,False,True,False,False,1662,3,False,12,False,,False
